id,plant_label,timestamp,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,action_water,action_reduce_temp,action_increase_light,recommendation_summary,request_id,risk_class
192,PrayerPlant,2026-06-03 16:55:42.569195+00,52.39,24.3,51.1,3.66,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780505738,0
193,PeaceLily,2026-06-03 19:53:12.12924+00,40.73,23.6,60,0,false,false,true,predWaterMin=6285.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780516387,0
194,PrayerPlant,2026-06-03 19:55:42.590677+00,52.54,24.1,54.6,0,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780516538,0
195,PeaceLily,2026-06-03 22:53:11.838286+00,40.29,23.4,60.5,0,false,false,true,predWaterMin=5446.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780527187,0
196,PrayerPlant,2026-06-03 22:55:42.079713+00,54.1,23.9,54.2,0,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780527338,0
197,PeaceLily,2026-06-04 01:53:11.687687+00,40,23.2,59.2,0,false,false,true,predWaterMin=4609.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780537987,0
198,PrayerPlant,2026-06-04 01:55:41.981086+00,53.8,23.8,53.3,0,false,false,true,predWaterMin=20676.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780538137,0
199,PeaceLily,2026-06-04 04:53:11.204012+00,39.9,23.1,59.2,6.57,false,false,true,predWaterMin=4214.1 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780548786,0
200,PrayerPlant,2026-06-04 04:55:41.657345+00,54.29,23.7,52.9,0,false,false,true,predWaterMin=21492.2 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780548937,0
201,PeaceLily,2026-06-04 07:53:11.089904+00,39.85,22.8,60.1,57.31,false,false,false,predWaterMin=4256.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780559587,0
202,PrayerPlant,2026-06-04 07:55:41.211602+00,55.27,23.3,54.2,9.89,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780559737,0
203,PeaceLily,2026-06-04 10:53:10.75994+00,39.56,22.9,62.3,56.51,false,false,false,predWaterMin=4784.5 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780570386,0
204,PrayerPlant,2026-06-04 10:55:43.876117+00,55.32,23.5,57,8.84,false,false,true,predWaterMin=19789.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780570539,0
205,PeaceLily,2026-06-04 13:53:10.542786+00,39.76,23,59.6,59.51,false,false,false,predWaterMin=5061.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780581186,0
206,PrayerPlant,2026-06-04 13:55:41.190789+00,55.76,23.7,53.1,16.8,false,false,true,predWaterMin=20760.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780581337,0
207,PeaceLily,2026-06-04 16:53:11.868707+00,39.61,22.9,53.9,62.1,false,false,false,predWaterMin=5474.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780591986,0
